The data shown here is provided by Statistics Canada from the 2016 Census as a custom data order for the City of Vancouver using the City's 22 local planning areas,,,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2016, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2016,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Variable,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
32,    15 to 64 years,4460,27465,6790,11430,10985,11815,17260,4315,9475,15315,8775,13265,3930,18360,7545,2510,2600,4910,12520,10120,20300,4065,227695,838860
33,      15 to 19 years,650,605,930,300,435,890,1340,535,900,680,705,320,415,1455,545,290,195,195,1295,955,285,465,14305,73180
34,      20 to 24 years,555,1895,900,775,700,1205,1770,540,1015,1365,1015,735,540,2265,610,310,225,275,1570,1160,1440,580,21410,85385
35,      25 to 29 years,405,4280,575,1780,1620,1435,2190,485,945,2420,1095,2210,475,2530,925,270,335,415,1545,1160,3565,385,30990,89300
36,      30 to 34 years,285,5180,330,2080,1795,1225,2045,260,865,2490,935,2810,360,2050,985,210,320,465,1230,990,3780,280,30935,89925
37,      35 to 39 years,225,3715,320,1540,1395,1100,1830,210,815,1805,740,2020,285,1670,805,155,305,485,1200,835,2615,250,24280,81090
38,      40 to 44 years,350,2700,530,1180,1210,1090,1715,305,930,1400,725,1500,270,1515,845,150,250,450,1135,800,1845,330,21190,79440
39,      45 to 49 years,555,2655,900,1110,1090,1275,1730,530,970,1500,900,1140,370,1680,810,300,290,605,1225,985,1825,460,22845,87850
40,      50 to 54 years,615,2370,940,925,1040,1370,1725,575,1105,1390,1050,1020,460,1965,805,305,260,660,1315,1115,1910,515,23365,93230
41,      55 to 59 years,410,2175,680,935,900,1230,1500,470,1040,1175,835,850,370,1755,645,275,205,750,1115,1070,1605,390,20350,85590
42,      60 to 64 years,420,1890,685,810,810,995,1415,405,880,1085,770,660,375,1470,565,260,210,610,880,1055,1420,405,18035,73865
43,    65 years and over,1405,3555,1710,2350,1590,2735,3135,1215,2270,2585,1625,1280,1245,3515,1455,840,610,1400,2505,2735,3390,1165,44180,176535
44,      65 to 69 years,430,1390,610,815,660,865,1040,410,800,1040,605,565,385,1215,515,265,170,495,815,905,1315,435,15685,62610
45,      70 to 74 years,275,930,425,570,360,480,605,305,485,655,365,315,250,685,290,180,110,270,530,525,925,285,9790,42495
46,      75 to 79 years,250,605,310,380,235,495,595,225,390,385,265,185,210,635,250,135,95,250,455,465,555,210,7555,30605
47,      80 to 84 years,190,360,205,290,175,510,485,150,305,250,200,120,190,545,215,120,105,215,395,430,305,120,5870,21965
48,      85 years and over,260,265,165,295,170,385,410,120,280,250,180,95,215,435,190,140,130,170,315,410,285,120,5280,18860
49,        85 to 89 years,160,185,115,190,125,270,285,80,190,175,130,70,120,295,130,75,70,125,215,275,185,80,3550,12740
50,        90 to 94 years,80,65,40,75,40,95,100,35,70,60,45,20,75,105,40,40,50,40,80,110,90,35,1390,4910
51,        95 to 99 years,20,10,5,20,5,15,20,10,20,10,5,5,15,25,10,20,10,10,15,25,10,0,295,1055
52,        100 years and over,5,0,5,5,0,5,0,0,0,5,0,0,0,5,0,5,5,0,5,5,0,0,45,160
53,  Total - Age groups and average age of females - 100% data,8370,28935,11090,18500,14920,17670,25265,7475,15390,22935,12610,16825,7040,26390,11775,4505,4180,5745,18595,16215,22530,6855,322975,1261260
54,    0 to 14 years,955,1925,1715,1245,1530,2240,3395,910,1990,2115,1185,1490,745,3040,1635,590,520,540,2585,1795,965,920,33890,175335
55,      0 to 4 years,220,1000,325,600,640,715,1185,180,615,830,410,740,245,990,550,130,175,180,815,580,485,175,11745,56220
56,      5 to 9 years,340,530,580,350,495,780,1150,315,660,680,365,465,230,1035,570,210,170,190,860,565,275,330,11100,59345
57,      10 to 14 years,400,390,810,295,400,745,1060,410,715,600,410,285,275,1015,515,250,175,175,910,650,200,410,11045,59770
58,    15 to 64 years,5350,23805,7425,13710,11550,12125,18130,5080,10510,17490,9270,13790,4625,18955,8330,2930,2830,3835,12970,10975,17960,4600,235695,875145
59,      15 to 19 years,580,580,870,355,400,890,1290,520,865,740,700,300,420,1355,525,285,190,175,1270,940,325,450,13965,69100
60,      20 to 24 years,615,2150,840,1085,825,1155,1700,610,980,1885,1045,975,500,2070,725,320,250,300,1405,1055,1665,630,22740,81890
61,      25 to 29 years,405,4535,535,2250,1835,1320,2135,420,805,2880,1090,2685,515,2285,1030,275,370,465,1360,1135,3810,390,32485,90640
62,      30 to 34 years,290,4570,365,2320,1925,1290,2165,295,935,2590,880,2895,380,1940,1020,230,345,495,1220,995,3360,330,30780,92705
63,      35 to 39 years,335,2905,445,1630,1440,1170,1975,335,990,1835,795,1915,365,1815,945,230,325,480,1330,960,2130,325,24635,86860
64,      40 to 44 years,615,2060,795,1275,1215,1210,1990,465,1110,1590,810,1370,415,1840,840,235,280,380,1400,1000,1435,425,22700,88930
65,      45 to 49 years,800,1960,1120,1235,1130,1340,1910,720,1190,1710,1085,1025,550,1895,900,385,330,380,1440,1095,1320,595,24045,96440
66,      50 to 54 years,690,1780,955,1190,985,1430,1850,675,1290,1505,1080,1005,545,2150,895,365,270,425,1295,1335,1315,520,23485,98145
67,      55 to 59 years,510,1795,780,1210,985,1260,1690,575,1250,1445,990,895,455,1930,780,295,255,400,1205,1300,1335,475,21750,91505
68,      60 to 64 years,515,1475,715,1175,805,1060,1430,480,1095,1320,800,720,480,1670,675,305,215,330,1045,1150,1260,455,19115,78940
69,    65 years and over,2070,3200,1950,3545,1840,3300,3740,1485,2885,3340,2150,1540,1665,4395,1805,985,830,1370,3045,3450,3605,1340,53385,210785
70,      65 to 69 years,485,1250,680,1190,670,910,1150,445,945,1260,735,630,470,1325,600,290,205,330,920,985,1170,470,17075,68420
71,      70 to 74 years,360,775,440,775,390,585,780,370,555,820,450,300,290,880,315,185,145,210,665,585,890,320,11050,47175
72,      75 to 79 years,340,485,340,545,290,630,685,270,495,465,355,230,285,860,315,140,110,245,560,655,595,205,9075,35905
73,      80 to 84 years,330,340,220,400,250,580,545,205,400,325,240,165,255,670,270,120,130,230,475,500,445,155,7240,26860
74,      85 years and over,555,350,265,630,245,605,575,195,480,475,375,210,370,655,300,245,235,350,430,720,510,190,8945,32420
75,        85 to 89 years,270,205,145,330,160,385,355,115,285,260,200,105,190,410,175,110,95,185,265,400,305,115,5065,18735
76,        90 to 94 years,195,105,75,200,55,170,160,65,130,150,120,75,145,195,90,85,95,105,120,230,155,45,2750,9965
77,        95 to 99 years,70,30,35,80,20,40,50,10,60,50,40,20,30,45,30,40,30,50,40,75,45,25,920,3140
78,        100 years and over,20,10,5,25,5,5,10,0,5,15,10,5,5,5,10,10,10,10,10,20,5,5,205,585
,,,,,,,,,,,,,,,,,,,,,,,,,
79,Total - Distribution (%) of the population by broad age groups - 100% data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.1,99.9,100,100,100,100,100,100,100
80,  0 to 14 years,13.2,6.5,16.6,7.7,11,13.3,14.3,13.4,14.3,10,10.8,9.3,12,12.2,15.1,13.9,13.8,8.5,15,12.2,4.1,14.5,11.2,14.7
81,  15 to 64 years,64.1,82.6,66.4,74.8,77.2,69.3,71.7,67.2,68.2,76.2,73.8,82.1,65.6,72.4,70.4,64.5,68.1,69.5,69.8,67.9,81.1,66.3,73.4,69.6
82,  65 years and over,22.7,10.9,17.1,17.5,11.8,17.5,13.9,19.3,17.6,13.8,15.4,8.6,22.4,15.3,14.5,21.6,18,22,15.2,19.9,14.8,19.2,15.5,15.7
83,    85 years and over,5.3,1,2,2.8,1.4,2.9,2,2.3,2.6,1.7,2.3,0.9,4.5,2.1,2.2,4.6,4.5,4.1,2,3.7,1.7,2.4,2.3,2.1
84,  Total - Distribution (%) of males by broad age groups - 100% data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,100,100,100,100.1,100,100
85,    0 to 14 years,15.3,6.3,17.7,8.8,11.8,13.9,15.2,14.9,15.7,11,12.3,9.8,13.6,13,16.5,14.9,15.4,7.7,16.1,13.4,4,15.8,11.9,15.5
86,    15 to 64 years,64.4,83,65.7,75.6,77.1,69.9,71.7,66.4,68,76.2,74.1,82.2,65.6,73,70,63.8,68.5,71.8,69.9,68.1,82.3,65.4,73.8,69.8
87,    65 years and over,20.3,10.7,16.5,15.6,11.2,16.2,13,18.7,16.3,12.9,13.7,7.9,20.8,14,13.5,21.3,16,20.5,14,18.4,13.7,18.8,14.3,14.7
88,      85 years and over,3.8,0.8,1.6,2,1.2,2.3,1.7,1.9,2,1.2,1.5,0.6,3.5,1.7,1.7,3.5,3.4,2.5,1.8,2.8,1.2,1.9,1.7,1.6
89,  Total - Distribution (%) of females by broad age groups - 100% data,100.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.9,100,100,100,99.9,100,100
90,    0 to 14 years,11.4,6.6,15.5,6.7,10.3,12.7,13.4,12.2,12.9,9.2,9.4,8.9,10.6,11.5,13.9,13,12.5,9.4,13.9,11.1,4.3,13.4,10.5,13.9
91,    15 to 64 years,63.9,82.3,67,74.1,77.4,68.6,71.8,68,68.3,76.2,73.5,82,65.7,71.8,70.8,65,67.7,66.7,69.7,67.7,79.7,67,73,69.4
92,    65 years and over,24.7,11.1,17.6,19.2,12.3,18.7,14.8,19.9,18.7,14.6,17.1,9.2,23.7,16.6,15.3,21.8,19.9,23.9,16.4,21.3,16,19.5,16.5,16.7
93,    85 years and over,6.6,1.2,2.4,3.4,1.6,3.4,2.3,2.6,3.1,2.1,3,1.3,5.2,2.5,2.5,5.5,5.5,6.1,2.3,4.5,2.3,2.8,2.8,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,
94,Average age of the population,44.6,40.6,41.1,43.4,40.2,42.3,40,42.9,42.4,40.6,41.9,38.3,44.3,41.2,40.2,43.8,42.1,47.3,39.8,43.7,42.8,42.1,41.6,41
,,,,,,,,,,,,,,,,,,,,,,,,,
95,Median age of the population,46.2,37.1,44.1,40.2,38.1,42.1,38.8,45.6,43.4,37.7,42.2,35.5,45.1,40,39.3,45.7,40.2,48.3,38.7,44.3,38.4,43.9,39.9,40.9
96,  Average age of males,42.2,41.1,40.1,42.1,39.8,41.4,39.1,41.7,40.8,39.9,40.5,38.1,42.5,39.9,39.2,42.9,40.6,47.8,38.6,42.3,42.9,41.2,40.8,40.1
97,  Median age of males,44.4,38.1,42.8,39.1,38.1,41,37.6,44.2,41.3,37.2,39.9,35.9,42.2,37.8,38.4,45.1,38.4,50,36.8,42,39.2,42.9,39,39.7
98,  Average age of females,46.5,40.1,42,44.5,40.5,43.2,40.8,44,43.8,41.2,43.3,38.5,45.8,42.3,41.1,44.6,43.4,46.7,41,45.1,42.7,42.9,42.3,41.9
99,  Median age of females,47.4,36.1,44.9,41.4,38.1,43.1,39.9,46.4,45,38.2,44,35.1,46.6,41.9,40,46.1,41.5,45.4,40.4,46,37.4,44.6,40.7,42
,,,,,,,,,,,,,,,,,,,,,,,,,
100,Total - Marital status for the population aged 15 years and over - 100% data,13280,58030,17875,31040,25970,29980,42260,12095,25140,38725,21820,29880,11470,45225,19140,7255,6865,11515,31040,27280,45255,11170,560955,2101320
101,  Married or living common law,7130,27045,10815,15365,11750,15505,22035,6825,13800,19280,10865,14865,6275,22945,10590,4160,3670,3405,16790,14655,19220,6310,282585,1193125
102,    Married,6615,19075,10035,10475,7355,13100,18540,6245,12535,13075,9435,9040,5830,20300,8620,3790,3090,2505,15450,13560,11205,5505,224800,1033885
103,    Living common law,520,7965,790,4895,4400,2405,3495,580,1265,6205,1425,5825,445,2645,1965,370,580,900,1345,1095,8020,800,57785,159240
104,  Not married and not living common law,6150,30990,7060,15670,14225,14475,20220,5265,11340,19450,10960,15015,5195,22285,8555,3095,3195,8110,14245,12620,26035,4865,278370,908190
105,    Never married,4110,23510,5400,11000,10630,10225,14895,3775,7745,14585,7965,11715,3620,16310,6435,2280,2235,5150,10565,8680,19525,3630,203550,629035
106,    Separated,285,1480,280,695,700,690,995,230,595,755,550,730,220,970,340,105,130,570,680,555,1080,190,12795,50130
107,    Divorced,815,4465,695,2645,1990,1760,2360,705,1595,2920,1495,1845,570,2590,965,280,380,1525,1355,1530,4100,635,37145,128045
108,    Widowed,935,1530,680,1340,900,1800,1980,555,1405,1185,945,725,795,2420,810,430,450,865,1645,1850,1330,410,24880,100985
109,  Total - Marital status for males aged 15 years and over - 100% data,5865,31020,8500,13780,12580,14555,20395,5525,11745,17905,10400,14540,5180,21875,9000,3345,3205,6305,15025,12855,23690,5235,271875,1015395
110,    Married or living common law,3410,14055,5295,7760,5750,7720,10910,3280,6850,9630,5330,7440,3035,11395,5220,2020,1855,1740,8330,7290,10410,3085,141445,594185
111,      Married,3145,9720,4895,5250,3615,6545,9200,2985,6220,6485,4620,4495,2815,10080,4270,1835,1560,1280,7680,6750,5920,2680,111755,513725
112,      Living common law,265,4330,400,2505,2130,1180,1705,295,630,3140,710,2945,225,1320,950,185,295,465,645,540,4495,400,29695,80455
113,    Not married and not living common law,2455,16970,3210,6020,6830,6830,9490,2245,4890,8275,5070,7105,2145,10480,3780,1320,1350,4565,6695,5565,13275,2150,130425,421210
114,      Never married,2015,13770,2780,4715,5515,5520,7775,1850,3940,6820,4125,5900,1775,8655,3175,1125,1070,3210,5615,4490,10770,1805,106195,334130
115,      Separated,80,715,100,265,315,280,405,65,225,315,215,325,75,400,135,25,55,275,270,200,540,65,5330,20265
116,      Divorced,210,2095,195,795,820,715,945,225,475,930,565,735,170,990,335,85,125,925,515,565,1685,190,14245,47275
117,      Widowed,145,380,135,245,185,320,360,105,255,210,160,145,130,430,135,85,105,155,300,315,285,90,4655,19540
118,  Total - Marital status for females aged 15 years and over - 100% data,7415,27010,9375,17255,13390,15430,21865,6570,13400,20825,11420,15335,6285,23350,10140,3915,3655,5210,16015,14420,21565,5940,289080,1085920
119,    Married or living common law,3720,12990,5525,7605,6000,7785,11125,3545,6950,9650,5535,7425,3240,11545,5365,2140,1820,1665,8460,7365,8810,3225,141135,598940
120,      Married,3470,9360,5135,5220,3735,6555,9340,3260,6315,6585,4815,4550,3020,10220,4350,1960,1530,1230,7765,6810,5285,2825,113045,520160
121,      Living common law,255,3630,385,2385,2270,1230,1790,290,635,3065,720,2880,220,1325,1010,180,285,435,700,555,3525,400,28090,78780
122,    Not married and not living common law,3695,14020,3845,9655,7390,7640,10740,3020,6450,11175,5885,7910,3050,11800,4775,1775,1840,3540,7550,7055,12755,2715,147945,486980
123,      Never married,2095,9735,2625,6285,5115,4710,7115,1925,3805,7770,3840,5815,1840,7650,3260,1155,1160,1940,4955,4190,8755,1830,97355,294905
124,      Separated,205,765,180,430,385,415,590,165,370,445,335,405,145,570,205,80,75,290,410,355,545,125,7460,29860
125,      Divorced,605,2370,500,1850,1175,1045,1420,480,1120,1995,930,1110,400,1600,635,195,250,600,845,965,2415,445,22900,80765
126,      Widowed,790,1150,545,1095,720,1475,1620,450,1150,975,785,575,660,1985,670,345,350,710,1345,1540,1045,320,20225,81445
,,,,,,,,,,,,,,,,,,,,,,,,,
127,Total - Census families in private households by family size - 100% data,4130,14550,6045,8390,7020,9290,13050,3900,8305,10715,6265,8115,3565,13730,6005,2270,2005,2015,9725,8510,10180,3550,160860,679365
128,  2 persons,1840,10715,2485,6125,4375,4315,5885,1840,3690,7005,3095,5630,1655,6295,2880,1040,985,1280,3925,3615,8400,1750,88590,327260
129,  3 persons,1085,2540,1445,1440,1465,2350,3330,885,2125,2025,1675,1470,895,3570,1380,500,470,370,2345,2215,1240,780,35480,158785
130,  4 persons,955,1100,1620,730,955,2045,2980,860,1940,1430,1205,870,790,2980,1350,505,435,245,2525,2000,485,780,28685,145805
131,  5 or more persons,245,195,495,95,225,580,855,310,550,255,295,150,230,890,390,230,115,120,935,680,65,250,8105,47515
,,,,,,,,,,,,,,,,,,,,,,,,,
132,Average size of census families,2.9,2.4,3,2.4,2.6,2.9,2.9,2.9,2.9,2.5,2.8,2.5,2.9,2.9,2.9,3,2.9,2.6,3.1,3,2.2,2.9,2.7,2.9
,,,,,,,,,,,,,,,,,,,,,,,,,
133,Total number of census families in private households - 100% data,4130,14550,6045,8390,7020,9285,13050,3900,8300,10715,6265,8115,3565,13730,6005,2270,2005,2015,9725,8505,10185,3550,160855,679365
134,  Total couple families,3265,12920,5185,7425,5750,7490,10590,3205,6640,9420,5070,7235,2910,10965,5145,1915,1725,1500,7980,6920,9290,3015,135215,574670
135,    Married couples,3005,8935,4790,4985,3550,6285,8845,2910,6010,6315,4355,4325,2690,9645,4165,1735,1430,1050,7305,6375,5280,2610,106330,495065
136,    Common-law couples,260,3980,395,2445,2200,1205,1750,295,635,3105,715,2915,225,1320,985,185,290,450,675,550,4010,405,28890,79605
137,  Total lone-parent families by sex of parent,865,1630,860,960,1275,1800,2460,695,1660,1295,1195,880,650,2765,855,355,285,515,1745,1590,895,540,25645,104695
138,    Female parent,765,1355,720,780,1020,1405,1985,590,1375,1055,1030,730,565,2240,690,290,220,425,1440,1310,730,445,21090,84740
139,    Male parent,95,280,145,180,250,390,475,105,285,240,165,155,90,520,170,65,60,85,305,275,170,95,4550,19950
,,,,,,,,,,,,,,,,,,,,,,,,,
140,Total - Couple census families in private households - 100% data,3265,12915,5180,7430,5745,7495,10590,3200,6640,9420,5070,7235,2910,10970,5145,1915,1720,1505,7980,6920,9290,3015,135215,574670
141,  Couples without children,1305,9430,1955,5365,3475,3190,4285,1385,2625,6035,2255,4975,1255,4485,2295,835,795,950,2845,2625,7655,1405,71270,260290
142,  Couples with children,1965,3490,3225,2065,2270,4305,6310,1815,4015,3385,2810,2260,1660,6485,2855,1085,925,550,5140,4300,1630,1610,63945,314380
143,    1 child,815,2235,1185,1255,1175,1855,2665,700,1670,1740,1375,1275,690,2820,1150,390,390,255,1850,1755,1100,615,28895,129480
144,    2 children,910,1055,1560,715,895,1900,2830,810,1815,1395,1145,835,740,2805,1320,475,420,200,2385,1885,465,745,27250,139085
145,    3 or more children,240,195,480,95,200,550,815,300,530,250,290,145,225,860,385,220,115,95,900,655,65,245,7800,45815
,,,,,,,,,,,,,,,,,,,,,,,,,
146,Total - Lone-parent census families in private households - 100% data,860,1630,860,960,1275,1800,2460,700,1665,1290,1200,880,650,2760,860,350,285,515,1745,1590,895,535,25640,104695
147,  1 child,540,1280,525,760,900,1130,1600,455,1065,965,840,650,400,1805,590,210,190,325,1085,990,745,340,17320,66975
148,  2 children,265,300,265,185,290,500,665,180,455,285,300,190,200,750,230,110,75,115,495,460,135,165,6590,29305
149,  3 or more children,60,50,70,15,85,170,190,60,145,40,55,35,55,205,40,35,15,70,170,135,20,30,1735,8420
,,,,,,,,,,,,,,,,,,,,,,,,,
150,Total - Private households by household size - 100% data,6065,35050,7565,19540,14975,12785,17870,5530,10660,22870,10875,17990,4975,18875,8835,2935,3130,5855,11705,10150,30870,5380,283915,960895
151,  1 person,1845,18055,1375,9960,6690,3315,4240,1565,2465,10270,4255,8525,1365,4695,2355,605,945,3580,2330,2105,18070,1540,110020,275455
152,  2 persons,1750,12340,2285,7025,4940,3710,5185,1725,3185,8105,3060,6430,1485,5415,2840,950,1045,1380,2890,2645,10455,1805,90450,300170
153,  3 persons,1050,3040,1475,1645,1760,2245,3365,865,2000,2470,1660,1755,840,3515,1455,495,470,420,2060,1900,1670,815,36885,153090
154,  4 persons,970,1300,1620,765,1105,2020,2950,835,1855,1555,1240,980,760,2935,1395,500,440,290,2165,1810,565,815,28775,139180
155,  5 or more persons,450,315,810,135,490,1495,2135,540,1160,470,655,300,520,2315,790,385,235,190,2260,1695,110,410,17780,93005
,,,,,,,,,,,,,,,,,,,,,,,,,
156,Number of persons in private households,14870,58725,21320,32745,28945,34170,48875,13955,28865,42615,24055,32215,12930,51225,22365,8140,7530,9860,36315,30245,46850,13050,618210,2426235
,,,,,,,,,,,,,,,,,,,,,,,,,
157,Average household size,2.4,1.7,2.8,1.7,1.9,2.7,2.7,2.5,2.7,1.9,2.2,1.8,2.6,2.7,2.5,2.8,2.4,1.7,3.1,3,1.5,2.4,2.2,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,
158,Total - Private households by household type - 100% data,6065,35045,7565,19540,14975,12785,17870,5530,10660,22870,10875,17990,4975,18875,8835,2935,3130,5855,11705,10150,30875,5380,283915,960890
159,  One-census-family households,3855,14315,5640,8320,6665,7840,11105,3580,7290,10475,5630,7910,3160,11595,5465,2105,1850,1945,7445,6740,10100,3390,146025,600780
160,    Without children in a census family,1180,9305,1775,5320,3315,2605,3505,1250,2220,5915,1975,4875,1085,3640,2070,770,715,920,1925,1885,7600,1315,65040,226485
161,    With children in a census family,2670,5015,3865,3000,3350,5235,7595,2335,5075,4565,3655,3025,2075,7955,3400,1335,1130,1020,5525,4855,2495,2075,80990,374290
162,  Multiple-census-family households,135,115,205,40,175,700,930,155,490,115,305,100,195,1030,260,80,70,35,1080,845,45,80,7150,37590
163,  Non-census-family households,2080,20615,1725,11190,8135,4245,5835,1795,2875,12275,4940,9980,1620,6250,3105,750,1205,3875,3185,2560,20735,1910,130745,322525
164,    One-person households,1850,18055,1375,9965,6685,3320,4235,1565,2465,10270,4260,8525,1365,4690,2355,610,945,3575,2330,2100,18075,1540,110025,275455
165,    Two-or-more person non-census-family households,240,2560,350,1230,1445,925,1595,225,415,2010,680,1455,255,1560,750,145,260,300,850,460,2665,375,20720,47070
,,,,,,,,,,,,,,,,,,,,,,,,,
166,Total - Occupied private dwellings by structural type of dwelling - 100% data,6070,35045,7565,19545,14975,12785,17870,5530,10660,22875,10875,17990,4975,18875,8835,2935,3130,5855,11705,10150,30875,5385,283915,960895
